MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
5,22,30/05/2020,25.0,25.0,81.22977,63.5,,,32.0,29661.94753,13990.743369999998,15671.20416,1.3,5,22,30/05/2020,50
5,22,31/05/2020,35.0,35.0,92.50044,79.5,17.0,3.0,52.0,37149.36856,18442.60934,18817.55922,67.25,5,22,31/05/2020,62
6,23,01/06/2020,6.0,2.0,18.977999999999998,16.0,,,7.0,4814.932,2165.2065,2649.7255,0.0,6,23,01/06/2020,83
6,23,02/06/2020,6.0,5.0,26.18751,23.0,,,11.0,7860.864490000001,3713.20895,4147.65554,0.0,6,23,02/06/2020,82
6,23,03/06/2020,10.0,7.0,31.33052,24.5,4.0,,17.0,11215.77348,5258.9434,5978.83008,0.0,6,23,03/06/2020,81
6,23,04/06/2020,11.0,7.0,25.30349,20.5,,,18.0,9628.83881,4646.066775,4988.1720350000005,33.85,6,23,04/06/2020,78
6,23,05/06/2020,5.0,7.0,38.263729999999995,27.0,,,14.0,11061.84337,5391.14685,5670.69652,0.0,6,23,05/06/2020,64
6,23,06/06/2020,10.0,23.0,74.27464,51.0,,1.0,28.0,27396.46426,12949.9263,14446.53796,1.3,6,23,06/06/2020,75
6,23,07/06/2020,28.0,35.0,90.71076,68.0,,2.0,46.0,35904.09944,17307.53838,18596.56106,23.35,6,23,07/06/2020,47
6,24,08/06/2020,4.0,4.0,10.185,12.0,,,4.0,3623.515,1746.3255,1877.1895,2.6,6,24,08/06/2020,103
6,24,09/06/2020,2.0,1.0,14.89349,18.5,,1.0,9.0,4374.84881,2198.45555,2176.3932600000003,0.0,6,24,09/06/2020,95
6,24,10/06/2020,13.0,10.0,46.201,22.0,4.0,,15.0,15828.6433,7746.30135,8118.14195,6.9,6,24,10/06/2020,90
6,24,11/06/2020,8.0,6.0,23.43437,21.5,6.0,,11.0,8159.39553,4286.9402,3914.45533,41.1,6,24,11/06/2020,93
6,24,12/06/2020,5.0,4.0,30.4986,29.0,2.0,,6.0,8355.0984,4146.508704,4208.589696,12.9,6,24,12/06/2020,95
6,24,13/06/2020,13.0,26.0,54.541940000000004,48.5,,1.0,26.0,22407.34336,11154.696259999999,11252.6471,0.0,6,24,13/06/2020,90
6,24,14/06/2020,22.0,34.0,69.70178,53.5,6.0,2.0,29.0,29821.52102,14839.23244,15014.28858,40.073,6,24,14/06/2020,67
6,25,15/06/2020,3.0,6.0,16.71921,17.5,,,8.0,6049.92759,3170.11585,2879.8117399999996,1.9,6,25,15/06/2020,127
6,25,16/06/2020,8.0,6.0,20.902739999999998,10.0,,,8.0,7133.485159999999,3357.1374100000003,3776.34775,1.9,6,25,16/06/2020,109
6,25,17/06/2020,5.0,8.0,26.3,20.5,,,9.0,9705.2,4557.266,5147.934,0.0,6,25,17/06/2020,111
6,25,18/06/2020,5.0,2.0,29.261259999999996,31.5,4.0,,10.0,8210.69074,3913.46345,4319.22729,1.9,6,25,18/06/2020,106
6,25,19/06/2020,5.0,8.0,17.08726,12.0,,,14.0,7041.709040000001,3533.1357,3508.57334,0.0,6,25,19/06/2020,146
6,25,20/06/2020,15.0,12.0,76.71549,65.5,,,41.0,25001.626809999998,12242.48455,12759.142259999999,0.0,6,25,20/06/2020,88
6,25,21/06/2020,31.0,70.0,150.47143,110.5,6.0,2.0,64.0,65869.64217,34543.85635,31357.785819999997,9.0225,6,25,21/06/2020,77
6,26,22/06/2020,7.0,1.0,24.27275,30.5,,,12.0,7000.44655,2996.723704,4003.722846,0.0,6,26,22/06/2020,158
6,26,23/06/2020,5.0,1.0,11.495,10.0,,,6.0,3586.505,1673.598,1912.9070000000002,0.0,6,26,23/06/2020,137
6,26,24/06/2020,5.0,9.0,26.99175,27.5,,,12.0,10841.88075,5135.47125,5706.4095,0.0,6,26,24/06/2020,114
6,26,25/06/2020,7.0,8.0,23.3879,6.0,,,7.0,8466.8832,3929.3257740000004,4537.557425999999,0.0,6,26,25/06/2020,172
6,26,26/06/2020,4.0,6.0,31.40483,22.0,,,7.0,9353.28677,4743.93294,4609.35383,0.0,6,26,26/06/2020,127
6,26,27/06/2020,11.0,20.0,65.17529,41.0,2.0,,26.0,21242.23221,10349.29255,10902.93966,0.0,6,26,27/06/2020,94
6,26,28/06/2020,19.0,21.0,83.06925,63.0,,,44.0,28589.15205,14052.99396,14547.95809,43.65,6,26,28/06/2020,111
6,27,29/06/2020,7.0,4.0,32.13169,22.0,1.0,1.0,8.0,8875.58261,4197.62481,4679.9578,0.0,6,27,29/06/2020,186
6,27,30/06/2020,11.0,8.0,22.685,17.0,,,6.0,8483.415,3998.3555,4485.0595,0.0,6,27,30/06/2020,219
7,27,01/07/2020,5.0,3.0,44.36842,20.0,6.0,,8.0,11075.24458,5150.0715119999995,5967.173068,1.3,7,27,01/07/2020,228
7,27,02/07/2020,6.0,11.0,29.340740000000004,21.0,,,17.0,12133.76896,5773.29391,6360.47505,0.0,7,27,02/07/2020,246
